LaCode,Geography_Code,Method of collection,Response,Gender,ethgrp,agegrp,SupportSetting,Stratum,MechanismDelivery,PSR,An advocate was used to help to complete the questionnaire,An interpreter was used to help to complete the questionnaire,translated,Version of the questionnaire used,Service user is a replacement in the sample,Responded to the original or reminder,Question 1 standard,Question 1 easy-read,Question 1 combined,Question 2 standard,Question 2 easy-read,Question 2 combined,Question 2b,Question 2c,Question 3a,Question 3b,Question 4a,Question 4b,Question 5a,Question 5b,Question 6a,Question 6b,Question 7a,Question 7c,Question 8a,Question 8b,Question 9a,Question 9b,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15a,Question 15b,Question 16a,Question 16b,Question 16c,Question 16d,Question 17a,Question 17b,Question 17c,Question 17d,Question 18,Question 19,Question 20a,Question 20b,Question 20c,Question 21a,Question 21b,Question 21c,Question 22,Question 23a,Question 23b,Question 23c,Question 23d,Question 23e,Question 23f
114,E06000004,1,3,2,1,2,2,3,5,5,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,1,,1,4,,3,1,,2,2,2,,1,,1,,1,1,1,,2,,1,1,2,1,4,2,1,2,2,2,3,2,2,2,2,1,3,2,1,2,2,2,1,4,2,2,2,2,1,2
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,3,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,3,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,99,99,99,99,99,5,99,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,3,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,3,3,5,1,2,2,1,2,2,,2,,1,2,,1,2,,2,2,2,,2,,2,,1,1,1,,1,,2,2,4,3,2,1,1,3,3,1,1,3,3,3,1,3,4,2,1,2,1,2,2,1,1,2,2,2,2,2
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,3,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,3,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,2,,1,2,,1,1,,2,2,,,,,2,,1,1,1,,1,,2,1,2,1,3,1,1,3,3,3,3,3,3,3,3,1,4,1,2,2,2,1,2,3,2,1,2,1,2,2
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,3,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,2,,1,4,,3,1,,4,3,4,,2,,2,,4,1,1,,1,,1,1,5,1,2,1,3,2,2,1,2,2,2,2,1,2,3,2,1,2,2,2,1,2,2,1,2,1,2,2
114,E06000004,1,3,1,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,3,2,2,1,2,2,,2,,1,1,,1,1,,1,2,1,,1,,1,,1,1,2,,1,,1,1,3,2,2,1,1,3,3,3,3,3,3,3,3,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,1,1,2,2,3,5,1,2,2,1,2,2,,3,,2,3,,2,1,,2,2,1,,1,,1,,1,1,2,,1,,2,2,2,1,2,2,1,1,1,1,3,2,1,1,1,1,4,2,1,2,2,2,1,2,2,1,2,2,2,2
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,1,1,2,2,3,5,1,2,2,1,2,2,,1,,1,1,,1,1,,1,2,1,,1,,1,,1,1,1,,1,,1,1,1,1,2,2,1,2,3,1,1,3,3,3,3,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2
114,E06000004,1,2,1,1,2,3,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,3,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,1,1,2,2,3,5,5,2,2,1,2,2,,1,,1,2,,1,1,,1,3,1,,1,,1,,1,1,1,,1,,1,1,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,5,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,99,99,99,99,99,5,99,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,1,1,2,2,3,5,1,2,2,1,2,2,,1,,1,,,,,,,,2,,1,,,,,,1,,1,,1,2,2,1,2,1,2,2,1,1,3,3,2,1,1,1,3,1,1,2,2,2,1,4,2,1,2,1,2,2
114,E06000004,1,1,1,1,2,2,3,5,1,2,2,1,2,2,,1,,1,2,,1,1,,2,2,1,,1,,1,,1,1,1,,2,,2,1,2,3,3,2,2,1,1,1,2,3,1,1,1,1,2,2,1,2,1,2,2,4,2,1,1,1,1,1
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,1,,1,,,,1,,,2,,,1,,1,,,1,,,,,,,,1,4,1,2,3,3,1,3,3,3,3,1,,4,1,2,2,2,2,1,4,2,2,2,2,2,1
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,2,,1,2,,1,1,,2,2,2,,2,,1,,1,1,1,,1,,1,1,3,1,2,1,1,,,,,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,1,1,2,2,3,5,1,2,2,1,2,2,,3,,2,4,,3,1,,3,2,2,,2,,1,,1,1,1,,4,,1,2,3,1,4,2,1,3,3,1,3,3,3,3,1,1,4,1,1,2,2,1,2,4,2,2,2,1,2,1
114,E06000004,1,3,2,1,2,3,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,4,,3,4,,3,1,,3,2,2,,2,,2,,1,1,3,,3,,1,,2,1,3,2,2,3,3,1,3,3,3,3,3,2,4,2,1,2,1,2,2,4,2,1,2,1,1,2
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,3,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,3,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,3,,2,4,,3,1,,4,2,2,,2,,2,,1,1,2,,3,,2,2,2,3,3,1,2,3,2,1,3,3,3,3,2,2,4,2,1,2,2,2,1,4,2,1,2,2,2,2
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,1,,1,2,,1,1,,1,2,1,,1,,1,,1,1,1,,1,,1,1,4,1,4,2,1,3,3,1,3,3,3,3,2,1,4,2,1,2,2,2,1,2,2,1,1,2,1,2
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,3,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,3,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,3,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,3,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,1,1,2,3,3,5,1,2,2,1,2,2,,3,,2,2,,1,2,,4,2,2,,2,,1,,1,1,3,,3,,2,2,5,2,3,2,2,3,3,3,3,3,3,3,3,2,4,2,2,1,2,2,1,4,2,1,2,1,2,2
114,E06000004,1,1,1,1,2,2,3,5,1,2,2,1,2,2,,3,,2,4,,3,1,,4,2,2,,2,,2,,1,1,1,,4,,3,2,1,,,,,3,3,1,3,1,3,3,1,2,1,1,1,2,2,2,1,4,2,1,1,1,1,2
114,E06000004,1,2,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,1,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,1,1,2,3,3,5,1,2,2,1,2,2,,1,,1,1,,1,1,,1,1,1,,1,,1,,1,1,1,,1,,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,2
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,3,,2,4,,3,1,,1,2,2,,2,,1,,1,1,2,,1,,2,1,3,1,3,3,2,3,3,1,2,2,2,3,1,3,3,2,1,2,2,1,2,1,1,2,2,2,2,2
114,E06000004,1,3,1,1,2,3,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,1,1,2,2,3,5,5,2,2,1,2,2,,2,,1,2,,1,1,,1,2,1,,1,,1,,1,1,1,,1,,1,1,4,1,2,2,1,1,1,1,3,2,2,1,1,1,3,2,2,1,2,2,1,2,2,2,2,2,1,2
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,1,,1,4,,3,1,,2,2,1,,1,,1,,1,1,2,,2,,2,1,3,1,3,1,1,2,2,1,2,2,2,1,1,1,4,2,2,1,2,2,1,2,2,1,2,2,2,2
114,E06000004,1,3,2,1,2,3,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,1,1,2,2,3,5,1,2,2,1,2,2,,2,,1,3,,2,1,,2,2,1,,2,,3,,1,1,1,,2,,1,2,5,3,2,1,1,1,1,1,3,2,1,1,1,1,1,2,1,2,2,2,1,4,2,1,2,1,2,2
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,2,,1,3,,2,2,,1,2,1,,1,,1,,1,1,1,,1,,2,2,3,1,3,1,2,3,3,1,1,3,3,3,1,2,4,2,2,1,1,2,2,2,2,1,2,2,2,2
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,3,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,99,99,99,99,99,5,99,2,2,1,2,2,,1,,1,2,,1,1,,1,2,1,,1,,1,,1,1,1,,1,,1,1,4,2,3,2,1,2,1,1,3,2,2,1,2,1,2,2,2,1,2,2,1,4,2,2,2,2,2,1
114,E06000004,1,3,1,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,2,,1,4,,3,1,,2,2,2,,1,,1,,1,1,2,,,,2,2,2,1,3,1,2,3,3,2,3,3,3,3,3,2,1,2,1,2,2,2,1,4,2,2,2,2,2,1
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,4,,3,5,,4,2,,3,2,2,,2,,3,,2,1,2,,3,,2,2,3,4,3,2,2,2,2,2,3,2,2,2,1,3,3,2,1,2,2,2,1,4,2,2,2,1,2,2
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,3,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,3,2,2,1,2,2,,1,,1,1,,1,1,,2,2,1,,1,,1,,1,1,1,,2,,1,1,3,3,1,1,1,1,1,1,3,2,1,1,1,1,1,2,1,2,2,2,1,4,2,1,1,1,1,2
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,1,,1,2,,1,1,,1,2,1,,1,,1,,1,1,1,,2,,1,1,4,3,3,1,1,1,1,1,3,1,1,1,1,1,4,2,1,2,2,2,1,2,2,2,2,1,2,2
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,3,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,3,,2,3,,2,2,,2,2,1,,1,,1,,1,1,2,,3,,1,1,3,1,1,2,1,3,3,1,3,2,3,3,1,1,1,2,1,2,2,2,1,4,2,2,2,1,2,2
114,E06000004,1,3,1,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,E06000004,1,1,2,1,2,2,3,5,1,2,2,1,2,2,,1,,1,1,,1,1,,1,2,1,,1,,1,,1,1,1,,1,,1,1,5,2,3,2,1,3,3,1,3,3,3,3,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2
114,E06000004,1,2,2,1,2,2,3,5,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
